Timestamp for sample frequency every 1 min,Temperature (°C),Barometric Pressure (mb)
2024-05-05 09:40:00,18.4625,999.2599
2024-05-05 09:41:00,18.4525,999.3000
2024-05-05 09:42:00,18.4375,999.2599
2024-05-05 09:43:00,18.4375,999.3000
2024-05-05 09:44:00,18.4600,999.3100
2024-05-05 09:45:00,18.4400,999.3600
2024-05-05 09:46:00,18.4425,999.3000
2024-05-05 09:47:00,18.4500,999.2700
2024-05-05 09:48:00,18.4500,999.2500
2024-05-05 09:49:00,18.4650,999.2700
2024-05-05 09:50:00,18.4475,999.2400
2024-05-05 09:51:00,18.4550,999.2599
2024-05-05 09:52:00,18.4475,999.3100
2024-05-05 09:53:00,18.4775,999.2000
2024-05-05 09:54:00,18.4475,999.2100
2024-05-05 09:55:00,18.4575,999.2500
2024-05-05 09:56:00,18.4850,999.2400
2024-05-05 09:57:00,18.4675,999.1300
2024-05-05 09:58:00,18.4825,999.1700
2024-05-05 09:59:00,18.4850,999.2300
2024-05-05 10:00:00,18.4950,999.2200
2024-05-05 10:01:00,18.5100,999.2300
2024-05-05 10:02:00,18.4950,999.1700
2024-05-05 10:03:00,18.4950,999.1200
2024-05-05 10:04:00,18.5150,999.2000
2024-05-05 10:05:00,18.4975,999.1700
2024-05-05 10:06:00,18.4950,999.1500
2024-05-05 10:07:00,18.5150,999.1600
2024-05-05 10:08:00,18.5150,999.1100
2024-05-05 10:09:00,18.5150,999.1700
2024-05-05 10:10:00,18.5325,999.1100
2024-05-05 10:11:00,18.5300,999.0800
2024-05-05 10:12:00,18.5475,999.1100
2024-05-05 10:13:00,18.5400,999.0400
2024-05-05 10:14:00,18.5375,999.0500
2024-05-05 10:15:00,18.5425,999.1000
2024-05-05 10:16:00,18.5650,999.1400
2024-05-05 10:17:00,18.5600,999.0600
2024-05-05 10:18:00,18.5350,999.0400
2024-05-05 10:19:00,18.5600,999.0400
2024-05-05 10:20:00,18.5650,998.9800
2024-05-05 10:21:00,18.5650,999.0900
2024-05-05 10:22:00,18.5750,999.0200
2024-05-05 10:23:00,18.5750,999.0400
2024-05-05 10:24:00,18.6000,999.0500
2024-05-05 10:25:00,18.5775,999.0400
2024-05-05 10:26:00,18.5900,999.0500
2024-05-05 10:27:00,18.6050,999.0200
2024-05-05 10:28:00,18.5825,999.0500
2024-05-05 10:29:00,18.6150,999.0900
2024-05-05 10:30:00,18.6025,999.1200
2024-05-05 10:31:00,18.5950,999.1400
2024-05-05 10:32:00,18.6025,999.0700
2024-05-05 10:33:00,18.6050,999.0400
2024-05-05 10:34:00,18.5850,999.0500
2024-05-05 10:35:00,18.6075,999.0700
2024-05-05 10:36:00,18.6275,999.1000
2024-05-05 10:37:00,18.6125,999.1500
2024-05-05 10:38:00,18.6150,999.2100
2024-05-05 10:39:00,18.6125,999.2300
2024-05-05 10:40:00,18.6225,999.2000
2024-05-05 10:41:00,18.6350,999.1100
2024-05-05 10:42:00,18.6175,999.1400
2024-05-05 10:43:00,18.6400,999.1700
2024-05-05 10:44:00,18.6200,999.2400
2024-05-05 10:45:00,18.6325,999.2700
2024-05-05 10:46:00,18.6550,999.2100
2024-05-05 10:47:00,18.6325,999.2900
2024-05-05 10:48:00,18.6525,999.2400
2024-05-05 10:49:00,18.6425,999.1500
2024-05-05 10:50:00,18.6600,999.1400
2024-05-05 10:51:00,18.6750,999.2300
2024-05-05 10:52:00,18.6825,999.2000
2024-05-05 10:53:00,18.6525,999.2700
2024-05-05 10:54:00,18.6875,999.2100
2024-05-05 10:55:00,18.6350,999.2800
2024-05-05 10:56:00,18.6600,999.2800
2024-05-05 10:57:00,18.6725,999.3600
2024-05-05 10:58:00,18.6800,999.3200
2024-05-05 10:59:00,18.6550,999.3000
2024-05-05 11:00:00,18.6825,999.3100
2024-05-05 11:01:00,18.6775,999.3100
2024-05-05 11:02:00,18.6875,999.3100
2024-05-05 11:03:00,18.6975,999.3200
2024-05-05 11:04:00,18.6850,999.3500
2024-05-05 11:05:00,18.6950,999.3200
2024-05-05 11:06:00,18.6975,999.3000
2024-05-05 11:07:00,18.7000,999.3100
2024-05-05 11:08:00,18.7175,999.2700
2024-05-05 11:09:00,18.7275,999.3500
2024-05-05 11:10:00,18.7350,999.3600
2024-05-05 11:11:00,18.7425,999.3800
2024-05-05 11:12:00,18.7400,999.3600
2024-05-05 11:13:00,18.7425,999.3500
2024-05-05 11:14:00,18.7575,999.3600
2024-05-05 11:15:00,18.7625,999.3700
2024-05-05 11:16:00,18.7525,999.3500
2024-05-05 11:17:00,18.7450,999.3400
2024-05-05 11:18:00,18.7375,999.3800
2024-05-05 11:19:00,18.7725,999.3100
2024-05-05 11:20:00,18.7525,999.3300
2024-05-05 11:21:00,18.7725,999.3700
2024-05-05 11:22:00,18.7675,999.4200
2024-05-05 11:23:00,18.7900,999.3800
2024-05-05 11:24:00,18.8025,999.4100
2024-05-05 11:25:00,18.8025,999.3700
2024-05-05 11:26:00,18.8150,999.4700
2024-05-05 11:27:00,18.7850,999.4200
2024-05-05 11:28:00,18.7750,999.4400
2024-05-05 11:29:00,18.7750,999.4400
2024-05-05 11:30:00,18.7775,999.5000
2024-05-05 11:31:00,18.7650,999.4400
2024-05-05 11:32:00,18.7350,999.4200
2024-05-05 11:33:00,18.7425,999.4000
2024-05-05 11:34:00,18.7950,999.3800
2024-05-05 11:35:00,18.7725,999.4200
2024-05-05 11:36:00,18.7625,999.3900
2024-05-05 11:37:00,18.7625,999.4500
2024-05-05 11:38:00,18.7550,999.4200
2024-05-05 11:39:00,18.7250,999.4200
2024-05-05 11:40:00,18.7525,999.3100
2024-05-05 11:41:00,18.7250,999.3600
2024-05-05 11:42:00,18.7400,999.2900
2024-05-05 11:43:00,18.7450,999.3000
2024-05-05 11:44:00,18.7425,999.9800
2024-05-05 11:45:00,18.7425,999.4800
2024-05-05 11:46:00,18.7400,999.4400
2024-05-05 11:47:00,18.7425,999.4000
2024-05-05 11:48:00,18.7550,999.4000
2024-05-05 11:49:00,18.7650,999.3500
2024-05-05 11:50:00,18.7450,999.4400
2024-05-05 11:51:00,18.7550,999.4500
2024-05-05 11:52:00,18.7400,999.4700
2024-05-05 11:53:00,18.7550,999.4400
2024-05-05 11:54:00,18.7525,999.4300
2024-05-05 11:55:00,18.7300,999.3700
2024-05-05 11:56:00,18.7625,999.3900
2024-05-05 11:57:00,18.7450,999.4200
2024-05-05 11:58:00,18.7600,999.3300
2024-05-05 11:59:00,18.7300,999.3700
2024-05-05 12:00:00,18.7400,999.4500
2024-05-05 12:01:00,18.7300,999.3700
2024-05-05 12:02:00,18.7350,999.3400
2024-05-05 12:03:00,18.7400,999.3500
2024-05-05 12:04:00,18.7425,999.3800
2024-05-05 12:05:00,18.7600,999.4400
2024-05-05 12:06:00,18.7725,999.4700
2024-05-05 12:07:00,18.7600,999.3600
2024-05-05 12:08:00,18.7600,999.4300
2024-05-05 12:09:00,18.7600,999.3700
2024-05-05 12:10:00,18.7625,1000.0500
2024-05-05 12:11:00,18.7925,999.3700
2024-05-05 12:12:00,18.7950,999.3600
2024-05-05 12:13:00,18.7850,999.4700
2024-05-05 12:14:00,18.7900,999.4200
2024-05-05 12:15:00,18.7725,999.3800
2024-05-05 12:16:00,18.7525,999.3600
2024-05-05 12:17:00,18.7775,999.4200
2024-05-05 12:18:00,18.7550,999.4300
2024-05-05 12:19:00,18.7525,999.4600
2024-05-05 12:20:00,18.7400,999.4200
2024-05-05 12:21:00,18.7250,999.3700
2024-05-05 12:22:00,18.7400,999.4800
2024-05-05 12:23:00,18.7400,999.5200
2024-05-05 12:24:00,18.7425,999.4600
2024-05-05 12:25:00,18.7500,999.4500
2024-05-05 12:26:00,18.7250,999.4700
2024-05-05 12:27:00,18.7375,999.4000
2024-05-05 12:28:00,18.7275,999.3900
2024-05-05 12:29:00,18.7550,999.3900
2024-05-05 12:30:00,18.7250,999.4300
2024-05-05 12:31:00,18.7275,999.4300
2024-05-05 12:32:00,18.7350,999.4600
2024-05-05 12:33:00,18.7325,999.2900
2024-05-05 12:34:00,18.7400,999.3600
2024-05-05 12:35:00,18.7200,999.2800
2024-05-05 12:36:00,18.7250,999.2900
2024-05-05 12:37:00,18.7025,999.3300
2024-05-05 12:38:00,18.7275,999.2900
2024-05-05 12:39:00,18.7200,999.2599
2024-05-05 12:40:00,18.7200,999.3400
2024-05-05 12:41:00,18.7150,999.9200
2024-05-05 12:42:00,18.7025,999.3500
2024-05-05 12:43:00,18.7075,999.2800
2024-05-05 12:44:00,18.7000,999.3100
2024-05-05 12:45:00,18.6900,999.3000
2024-05-05 12:46:00,18.7075,999.9100
2024-05-05 12:47:00,18.7275,999.2700
2024-05-05 12:48:00,18.7125,999.2300
2024-05-05 12:49:00,18.7000,999.2100
2024-05-05 12:50:00,18.7250,999.1300
2024-05-05 12:51:00,18.7050,999.1700
2024-05-05 12:52:00,18.7250,999.1900
2024-05-05 12:53:00,18.7000,999.1300
2024-05-05 12:54:00,18.7250,999.1600
2024-05-05 12:55:00,18.7450,999.2599
2024-05-05 12:56:00,18.7300,999.3100
2024-05-05 12:57:00,18.7400,999.2300
2024-05-05 12:58:00,18.7175,999.2500
2024-05-05 12:59:00,18.7200,999.2500
2024-05-05 13:00:00,18.7300,999.2200
2024-05-05 13:01:00,18.7150,999.2300
2024-05-05 13:02:00,18.7150,999.2200
2024-05-05 13:03:00,18.7025,999.2000
2024-05-05 13:04:00,18.6900,999.1900
2024-05-05 13:05:00,18.6950,999.1800
2024-05-05 13:06:00,18.6975,999.3100
2024-05-05 13:07:00,18.6850,999.3200
2024-05-05 13:08:00,18.7000,999.2900
2024-05-05 13:09:00,18.7000,999.2800
2024-05-05 13:10:00,18.6975,999.2900
2024-05-05 13:11:00,18.7050,999.2500
2024-05-05 13:12:00,18.7075,999.2000
2024-05-05 13:13:00,18.7175,999.3200
2024-05-05 13:14:00,18.6925,999.2900
2024-05-05 13:15:00,18.6775,999.3900
2024-05-05 13:16:00,18.6825,999.4900
2024-05-05 13:17:00,18.6875,999.5200
2024-05-05 13:18:00,18.6850,999.4800
2024-05-05 13:19:00,18.6975,999.5000
2024-05-05 13:20:00,18.6825,999.4300
2024-05-05 13:21:00,18.7150,999.4600
2024-05-05 13:22:00,18.6975,999.4500
2024-05-05 13:23:00,18.6975,999.3900
2024-05-05 13:24:00,18.7000,999.4400
2024-05-05 13:25:00,18.6850,999.4500
2024-05-05 13:26:00,18.6875,999.4000
2024-05-05 13:27:00,18.6675,999.3700
2024-05-05 13:28:00,18.6800,999.4400
2024-05-05 13:29:00,18.7175,999.4300
2024-05-05 13:30:00,18.6875,999.4900
2024-05-05 13:31:00,18.7000,999.4600
2024-05-05 13:32:00,18.6775,999.4800
2024-05-05 13:33:00,18.6900,999.3700
2024-05-05 13:34:00,18.6775,999.4300
2024-05-05 13:35:00,18.6825,999.5300
2024-05-05 13:36:00,18.6875,999.5900
2024-05-05 13:37:00,18.6725,999.6400
2024-05-05 13:38:00,18.6900,999.5700
2024-05-05 13:39:00,18.6875,999.6600
2024-05-05 13:40:00,18.6500,999.6900
2024-05-05 13:41:00,18.6775,1000.2900
2024-05-05 13:42:00,18.6825,999.5900
2024-05-05 13:43:00,18.6925,999.6700
2024-05-05 13:44:00,18.6900,999.6900
2024-05-05 13:45:00,18.6900,999.6400
2024-05-05 13:46:00,18.6500,999.6400
2024-05-05 13:47:00,18.6625,999.6200
2024-05-05 13:48:00,18.6675,999.6100
2024-05-05 13:49:00,18.6900,999.6700
2024-05-05 13:50:00,18.6825,999.6300
2024-05-05 13:51:00,18.6800,999.6200
2024-05-05 13:52:00,18.6500,999.5500
2024-05-05 13:53:00,18.6425,999.7000
2024-05-05 13:54:00,18.6350,999.5900
2024-05-05 13:55:00,18.6450,999.7200
2024-05-05 13:56:00,18.6175,999.7599
2024-05-05 13:57:00,18.6275,999.7400
2024-05-05 13:58:00,18.6250,999.7000
2024-05-05 13:59:00,18.6225,999.5800
2024-05-05 14:00:00,18.6125,999.6300
2024-05-05 14:01:00,18.6350,999.6600
2024-05-05 14:02:00,18.6275,999.4900
2024-05-05 14:03:00,18.6275,999.5700
2024-05-05 14:04:00,18.6100,999.6200
2024-05-05 14:05:00,18.6150,999.6200
2024-05-05 14:06:00,18.6075,999.5600
2024-05-05 14:07:00,18.6050,999.5800
2024-05-05 14:08:00,18.5950,999.6400
2024-05-05 14:09:00,18.5950,999.5900
2024-05-05 14:10:00,18.6025,999.5000
2024-05-05 14:11:00,18.6000,999.6200
2024-05-05 14:12:00,18.6025,999.5400
2024-05-05 14:13:00,18.6150,999.5500
2024-05-05 14:14:00,18.6125,999.5300
2024-05-05 14:15:00,18.5850,999.5300
2024-05-05 14:16:00,18.6125,999.4600
2024-05-05 14:17:00,18.5900,999.5000
2024-05-05 14:18:00,18.5875,999.4200
2024-05-05 14:19:00,18.5850,999.4500
2024-05-05 14:20:00,18.5900,999.4700
2024-05-05 14:21:00,18.6025,999.3900
2024-05-05 14:22:00,18.6025,999.4900
2024-05-05 14:23:00,18.5800,999.4700
2024-05-05 14:24:00,18.5825,999.3000
2024-05-05 14:25:00,18.5875,999.2900
2024-05-05 14:26:00,18.6025,999.3900
2024-05-05 14:27:00,18.5775,999.3700
2024-05-05 14:28:00,18.5775,999.3600
2024-05-05 14:29:00,18.5950,999.2100
2024-05-05 14:30:00,18.5800,999.1300
2024-05-05 14:31:00,18.5825,999.1100
2024-05-05 14:32:00,18.5800,999.1400
2024-05-05 14:33:00,18.6000,999.1600
2024-05-05 14:34:00,18.5850,999.1100
2024-05-05 14:35:00,18.5650,999.2100
2024-05-05 14:36:00,18.5700,999.1100
2024-05-05 14:37:00,18.5750,999.1200
2024-05-05 14:38:00,18.5575,999.2500
2024-05-05 14:39:00,18.5750,999.1100
2024-05-05 14:40:00,18.5750,999.2000
2024-05-05 14:41:00,18.5750,999.1000
2024-05-05 14:42:00,18.5750,999.1200
2024-05-05 14:43:00,18.5750,999.0600
2024-05-05 14:44:00,18.5775,999.1000
2024-05-05 14:45:00,18.5950,999.0900
2024-05-05 14:46:00,18.6025,999.0600
2024-05-05 14:47:00,18.5825,999.1000
2024-05-05 14:48:00,18.5675,998.9800
2024-05-05 14:49:00,18.5875,999.0700
2024-05-05 14:50:00,18.5975,999.0500
2024-05-05 14:51:00,18.5950,998.9600
2024-05-05 14:52:00,18.5800,998.9800
2024-05-05 14:53:00,18.6150,998.9700
2024-05-05 14:54:00,18.6075,998.9400
2024-05-05 14:55:00,18.5850,998.9400
2024-05-05 14:56:00,18.5850,998.9500
2024-05-05 14:57:00,18.5650,998.8900
2024-05-05 14:58:00,18.5875,998.8500
2024-05-05 14:59:00,18.5650,998.8400
2024-05-05 15:00:00,18.5900,998.9700
2024-05-05 15:01:00,18.5850,998.9300
2024-05-05 15:02:00,18.5975,998.9800
2024-05-05 15:03:00,18.6175,999.0700
2024-05-05 15:04:00,18.5875,999.0700
2024-05-05 15:05:00,18.5950,999.1200
2024-05-05 15:06:00,18.5975,999.0900
2024-05-05 15:07:00,18.6100,999.1400
2024-05-05 15:08:00,18.6050,998.9600
2024-05-05 15:09:00,18.5950,998.8500
2024-05-05 15:10:00,18.6075,998.9400
2024-05-05 15:11:00,18.6325,998.8200
2024-05-05 15:12:00,18.6175,998.7100
2024-05-05 15:13:00,18.6050,998.8200
2024-05-05 15:14:00,18.6225,998.7800
2024-05-05 15:15:00,18.6175,998.7400
2024-05-05 15:16:00,18.6275,998.8000
2024-05-05 15:17:00,18.6025,998.8600
2024-05-05 15:18:00,18.5950,998.8000
2024-05-05 15:19:00,18.5900,998.8700
2024-05-05 15:20:00,18.6125,998.8500
2024-05-05 15:21:00,18.6275,998.8700
2024-05-05 15:22:00,18.6225,998.8000
2024-05-05 15:23:00,18.6275,998.8000
2024-05-05 15:24:00,18.6250,998.6900
2024-05-05 15:25:00,18.6425,998.6800
2024-05-05 15:26:00,18.6175,998.7000
2024-05-05 15:27:00,18.6100,998.7300
2024-05-05 15:28:00,18.6150,998.6500
2024-05-05 15:29:00,18.6200,998.7100
2024-05-05 15:30:00,18.6025,998.6500
2024-05-05 15:31:00,18.6250,998.6700
2024-05-05 15:32:00,18.6025,998.6200
2024-05-05 15:33:00,18.6200,998.6500
2024-05-05 15:34:00,18.6225,998.6400
2024-05-05 15:35:00,18.6125,998.6200
2024-05-05 15:36:00,18.6075,998.6800
2024-05-05 15:37:00,18.6275,998.7599
2024-05-05 15:38:00,18.6150,998.6200
2024-05-05 15:39:00,18.6350,998.6900
2024-05-05 15:40:00,18.6400,998.7100
2024-05-05 15:41:00,18.6400,998.7300
2024-05-05 15:42:00,18.6400,998.7400
2024-05-05 15:43:00,18.6550,998.8800
2024-05-05 15:44:00,18.6425,998.9100
2024-05-05 15:45:00,18.6625,998.9000
2024-05-05 15:46:00,18.6650,998.9700
2024-05-05 15:47:00,18.6675,998.9700
2024-05-05 15:48:00,18.6625,998.9300
2024-05-05 15:49:00,18.6625,998.9900
2024-05-05 15:50:00,18.6775,998.9900
2024-05-05 15:51:00,18.7050,998.9400
2024-05-05 15:52:00,18.7025,998.9400
2024-05-05 15:53:00,18.7275,998.9400
2024-05-05 15:54:00,18.7150,998.9400
2024-05-05 15:55:00,18.7025,998.9300
2024-05-05 15:56:00,18.7525,998.9900
2024-05-05 15:57:00,18.7625,998.9900
2024-05-05 15:58:00,18.7650,998.9200
2024-05-05 15:59:00,18.7450,998.9300
2024-05-05 16:00:00,18.7300,998.9500
2024-05-05 16:01:00,18.7525,998.8600
2024-05-05 16:02:00,18.7450,998.8400
2024-05-05 16:03:00,18.7150,998.8100
2024-05-05 16:04:00,18.7275,998.8300
2024-05-05 16:05:00,18.7550,998.8700
2024-05-05 16:06:00,18.7525,998.8500
2024-05-05 16:07:00,18.7425,998.8400
2024-05-05 16:08:00,18.7550,998.8200
2024-05-05 16:09:00,18.7550,998.8600
2024-05-05 16:10:00,18.7450,998.8600
2024-05-05 16:11:00,18.7275,998.9200
2024-05-05 16:12:00,18.7250,998.9400
2024-05-05 16:13:00,18.7375,999.0099
2024-05-05 16:14:00,18.7400,999.0099
2024-05-05 16:15:00,18.7450,998.9400
2024-05-05 16:16:00,18.7350,998.9300
2024-05-05 16:17:00,18.7250,998.8700
2024-05-05 16:18:00,18.7175,998.9200
2024-05-05 16:19:00,18.7400,998.8700
2024-05-05 16:20:00,18.7400,998.8600
2024-05-05 16:21:00,18.7400,998.7800
2024-05-05 16:22:00,18.7450,998.8300
2024-05-05 16:23:00,18.7400,998.9300
2024-05-05 16:24:00,18.7425,998.8700
2024-05-05 16:25:00,18.7600,998.9500
2024-05-05 16:26:00,18.7450,998.9100
2024-05-05 16:27:00,18.7425,998.9000
2024-05-05 16:28:00,18.7425,998.8300
2024-05-05 16:29:00,18.7650,998.9100
2024-05-05 16:30:00,18.7250,998.8300
2024-05-05 16:31:00,18.7500,998.8100
2024-05-05 16:32:00,18.7575,998.8200
2024-05-05 16:33:00,18.7600,998.7599
2024-05-05 16:34:00,18.7575,998.8300
2024-05-05 16:35:00,18.7400,998.8000
2024-05-05 16:36:00,18.7350,998.8000
2024-05-05 16:37:00,18.7250,998.7300
2024-05-05 16:38:00,18.7225,998.7200
2024-05-05 16:39:00,18.7250,998.7400
2024-05-05 16:40:00,18.7250,998.7300
2024-05-05 16:41:00,18.7150,998.6900
2024-05-05 16:42:00,18.7025,998.6800
2024-05-05 16:43:00,18.7250,998.6600
2024-05-05 16:44:00,18.7425,998.7400
2024-05-05 16:45:00,18.7425,998.7800
2024-05-05 16:46:00,18.7250,998.8600
2024-05-05 16:47:00,18.7425,998.9800
2024-05-05 16:48:00,18.7600,998.9200
2024-05-05 16:49:00,18.7550,999.0400
2024-05-05 16:50:00,18.7400,999.0800
2024-05-05 16:51:00,18.7500,999.0800
2024-05-05 16:52:00,18.7400,999.0000
2024-05-05 16:53:00,18.7325,999.0700
2024-05-05 16:54:00,18.7250,998.9600
2024-05-05 16:55:00,18.7350,999.0500
2024-05-05 16:56:00,18.7400,998.9800
2024-05-05 16:57:00,18.7250,999.0700
2024-05-05 16:58:00,18.7500,999.0900
2024-05-05 16:59:00,18.7150,999.0800
2024-05-05 17:00:00,18.7075,999.0300
2024-05-05 17:01:00,18.7300,999.0900
2024-05-05 17:02:00,18.7200,999.1200
2024-05-05 17:03:00,18.7350,999.1100
2024-05-05 17:04:00,18.7275,999.1600
2024-05-05 17:05:00,18.7275,999.0500
2024-05-05 17:06:00,18.7200,999.0900
2024-05-05 17:07:00,18.7175,999.0200
2024-05-05 17:08:00,18.7275,999.1600
2024-05-05 17:09:00,18.7050,999.0900
2024-05-05 17:10:00,18.7150,999.0000
2024-05-05 17:11:00,18.7000,999.0200
2024-05-05 17:12:00,18.6875,999.0300
2024-05-05 17:13:00,18.6800,999.0700
2024-05-05 17:14:00,18.6775,999.1000
2024-05-05 17:15:00,18.6775,999.1800
2024-05-05 17:16:00,18.6825,999.2000
2024-05-05 17:17:00,18.6825,999.3000
2024-05-05 17:18:00,18.6750,999.1800
2024-05-05 17:19:00,18.6600,999.1700
2024-05-05 17:20:00,18.6450,999.0600
2024-05-05 17:21:00,18.6775,999.1000
2024-05-05 17:22:00,18.6725,999.1100
2024-05-05 17:23:00,18.6825,999.0600
2024-05-05 17:24:00,18.6425,999.0600
2024-05-05 17:25:00,18.6750,999.0400
2024-05-05 17:26:00,18.6500,999.0200
2024-05-05 17:27:00,18.6575,999.1200
2024-05-05 17:28:00,18.6525,999.0300
2024-05-05 17:29:00,18.6425,999.1000
2024-05-05 17:30:00,18.6275,998.9500
2024-05-05 17:31:00,18.6425,998.9500
2024-05-05 17:32:00,18.6275,998.9700
2024-05-05 17:33:00,18.6475,998.8800
2024-05-05 17:34:00,18.6275,998.8400
2024-05-05 17:35:00,18.6275,998.8900
2024-05-05 17:36:00,18.6350,998.8600
2024-05-05 17:37:00,18.6125,998.9500
2024-05-05 17:38:00,18.6325,999.0300
2024-05-05 17:39:00,18.6025,999.0200
2024-05-05 17:40:00,18.6125,998.8600
2024-05-05 17:41:00,18.6025,998.8800
2024-05-05 17:42:00,18.5850,999.0000
2024-05-05 17:43:00,18.5850,998.9400
2024-05-05 17:44:00,18.6000,998.9800
2024-05-05 17:45:00,18.6000,999.0500
2024-05-05 17:46:00,18.6025,999.0900
2024-05-05 17:47:00,18.5950,999.2100
2024-05-05 17:48:00,18.5875,999.1500
2024-05-05 17:49:00,18.6000,999.2100
2024-05-05 17:50:00,18.5750,999.1900
2024-05-05 17:51:00,18.5875,999.3600
2024-05-05 17:52:00,18.5850,999.2500
2024-05-05 17:53:00,18.6050,999.3100
2024-05-05 17:54:00,18.6125,999.2700
2024-05-05 17:55:00,18.5850,999.3000
2024-05-05 17:56:00,18.6025,999.3100
2024-05-05 17:57:00,18.5800,999.2700
2024-05-05 17:58:00,18.5950,999.2700
2024-05-05 17:59:00,18.5850,999.2800
2024-05-05 18:00:00,18.5800,999.3300
2024-05-05 18:01:00,18.6075,999.3000
2024-05-05 18:02:00,18.6025,999.3800
2024-05-05 18:03:00,18.6025,999.3200
2024-05-05 18:04:00,18.6050,999.4200
